"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp"
"Graduation","Single",58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,3040,0,1617
"PhD","Together",30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2765,0,46
"PhD","Single",82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,2959,2,1315
"PhD","Divorced",46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,68,2985,0,302
"PhD","Divorced",48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,77,2890,1,902
"2n Cycle","Married",41658,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,24,2974,0,122
"Graduation","Divorced",82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,43,2399,2,1617
"Master","Together",82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,65,2964,1,1957
"Graduation","Divorced",70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,54,2830,0,1093
"Master","Single",75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,38,2737,2,1438
"Graduation","Married",25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,49,2781,0,34
"2n Cycle","Single",88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,41,2479,2,1274
"Master","Married",75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,48,3048,0,1890
"Graduation","Single",75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,44,3002,1,2209
"Graduation","Together",56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,55,2920,1,692
"Graduation","Single",50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,63,2409,2,372
"Graduation","Married",87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,61,2429,0,1097
"PhD","Single",68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,29,2973,1,1820
"Graduation","Single",86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,29,2920,2,730
"Master","Single",32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,53,2502,0,80
"Graduation","Single",101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,37,2851,3,1135
"Graduation","Single",79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,36,2811,0,1923
"PhD","Single",35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,47,2418,1,49
"Master","Together",65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,44,2604,0,1053
"Graduation","Married",23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,45,2986,0,68
"Graduation","Together",69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,71,2872,2,1381
"PhD","Married",83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,72,2937,2,1318
"PhD","Single",46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,47,2467,1,263
"PhD","Together",102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,43,2981,3,1240
"Master","Single",18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,36,2973,1,35
"Graduation","Divorced",64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,66,3034,1,1804
"Graduation","Single",37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,54,2843,0,433
"Graduation","Married",73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,30,2590,1,1627
"Graduation","Married",80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,48,2782,3,1690
"Graduation","Divorced",102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,46,2827,4,1112
"Graduation","Divorced",15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,41,3004,1,31
"Master","Together",43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,68,2888,0,275
"PhD","Married",38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,50,2999,1,184
"Graduation","Single",69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,67,3022,0,1635
"Graduation","Single",60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,64,2905,0,957
"PhD","Single",69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,34,2830,1,925
"Graduation","Widow",27038,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,54,3026,0,107
"PhD","Married",66334,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,64,2829,0,1161
"Master","Married",35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,49,2912,1,59
"Graduation","Divorced",75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,52,2947,3,1442
"Graduation","Together",83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,55,2860,1,1674
"Basic","Together",27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,47,2695,1,18
"Graduation","Divorced",84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,50,2390,0,1190
"PhD","Single",69759,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,54,2621,0,1029
"PhD","Single",38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,48,2749,0,73
"Graduation","Single",22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,50,2845,1,81
"Master","Together",43795,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,52,2633,1,492
"Graduation","Together",15345,1,0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,36,3044,0,47
"2n Cycle","Together",14515,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,40,2974,0,96
