"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp","TotalPurchases","PurchaseFrequency","PreferredProductCategory","PreferredChannel","AvgSpendPerPurchase","HasChildren","IncomeSegment","CustomerTenure","CampaignAcceptanceRate","CustomerSegment","PropensityScore","EngagementIndex"
"Graduation","Single",58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,3040,0,1617,25,0.246710526315789,"WineExp","CatalogPurc",64.68,0,"Medium",8.32876712328767,0,"2",0.271575550225899,42.7877187718772
"PhD","Together",30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2765,0,46,6,0.0650994575045208,"MeatExp","WebPurc",7.66666666666667,1,"Low",7.57534246575342,0,"3",0.0841703460483465,31.5865786578658
"PhD","Single",82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,2959,2,1315,26,0.263602568435282,"WineExp","StorePurc",50.5769230769231,0,"High",8.10684931506849,0.4,"2",0.799548887469666,50.5875587558756
"PhD","Divorced",46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,68,2985,0,302,17,0.170854271356784,"WineExp","DealsPurc",17.7647058823529,1,"Medium",8.17808219178082,0,"3",0.242086607315118,37.8365236523652
"PhD","Divorced",48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,77,2890,1,902,24,0.249134948096886,"WineExp","CatalogPurc",37.5833333333333,0,"Medium",7.91780821917808,0.2,"2",0.416346146282545,40.0132413241324
"2n Cycle","Married",41658,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,24,2974,0,122,10,0.100874243443174,"GoldExp","DealsPurc",12.2,0,"Medium",8.14794520547945,0,"3",0.067453820871419,32.9966396639664
"Graduation","Divorced",82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,43,2399,2,1617,21,0.262609420591913,"MeatExp","CatalogPurc",77,0,"High",6.57260273972603,0.4,"2",0.705955869688422,42.4442844284428
"Master","Together",82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,65,2964,1,1957,27,0.273279352226721,"WineExp","StorePurc",72.4814814814815,0,"High",8.12054794520548,0.2,"2",0.252961140308552,44.3292729272927
"Graduation","Divorced",70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,54,2830,0,1093,21,0.222614840989399,"MeatExp","StorePurc",52.0476190476191,0,"High",7.75342465753425,0,"2",0.199755307379853,38.4756075607561
"Master","Single",75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,38,2737,2,1438,21,0.230179028132992,"WineExp","StorePurc",68.4761904761905,0,"High",7.4986301369863,0.4,"2",0.89460260873441,49.5113111311131
